ligne_num,couleur,origine,destination,jours_validite,course_num,heure_ref_depart_ligne,commune,arret,arret_norm,heure_passage,remarque
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,4,13:00,LE CHÂTEAU-D'OLÉRON,Camping le Fief Melin,le chateau d'oleron|camping le fief melin,13:32,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,5,14:30,LE CHÂTEAU-D'OLÉRON,Camping le Fief Melin,le chateau d'oleron|camping le fief melin,15:02,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,6,16:00,LE CHÂTEAU-D'OLÉRON,Camping le Fief Melin,le chateau d'oleron|camping le fief melin,16:32,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,7,17:30,LE CHÂTEAU-D'OLÉRON,Camping le Fief Melin,le chateau d'oleron|camping le fief melin,18:02,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,1,08:30,LE CHÂTEAU-D'OLÉRON,Aire de camping-cars,le chateau d'oleron|aire de camping cars,09:06,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,2,10:00,LE CHÂTEAU-D'OLÉRON,Aire de camping-cars,le chateau d'oleron|aire de camping cars,10:36,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,3,11:30,LE CHÂTEAU-D'OLÉRON,Aire de camping-cars,le chateau d'oleron|aire de camping cars,12:06,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,4,13:00,LE CHÂTEAU-D'OLÉRON,Aire de camping-cars,le chateau d'oleron|aire de camping cars,13:36,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,5,14:30,LE CHÂTEAU-D'OLÉRON,Aire de camping-cars,le chateau d'oleron|aire de camping cars,15:06,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,6,16:00,LE CHÂTEAU-D'OLÉRON,Aire de camping-cars,le chateau d'oleron|aire de camping cars,16:36,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,7,17:30,LE CHÂTEAU-D'OLÉRON,Aire de camping-cars,le chateau d'oleron|aire de camping cars,18:06,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,1,08:30,LE CHÂTEAU-D'OLÉRON,Camping Les Remparts,le chateau d'oleron|camping les remparts,09:08,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,2,10:00,LE CHÂTEAU-D'OLÉRON,Camping Les Remparts,le chateau d'oleron|camping les remparts,10:38,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,3,11:30,LE CHÂTEAU-D'OLÉRON,Camping Les Remparts,le chateau d'oleron|camping les remparts,12:08,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,4,13:00,LE CHÂTEAU-D'OLÉRON,Camping Les Remparts,le chateau d'oleron|camping les remparts,13:38,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,5,14:30,LE CHÂTEAU-D'OLÉRON,Camping Les Remparts,le chateau d'oleron|camping les remparts,15:08,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,6,16:00,LE CHÂTEAU-D'OLÉRON,Camping Les Remparts,le chateau d'oleron|camping les remparts,16:38,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,7,17:30,LE CHÂTEAU-D'OLÉRON,Camping Les Remparts,le chateau d'oleron|camping les remparts,18:08,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,1,08:30,LE CHÂTEAU-D'OLÉRON,Porte de Dolus - cité Bastion,le chateau d'oleron|porte de dolus cite bastion,09:12,Correspondance navettes bleue et verte
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,2,10:00,LE CHÂTEAU-D'OLÉRON,Porte de Dolus - cité Bastion,le chateau d'oleron|porte de dolus cite bastion,10:42,Correspondance navettes bleue et verte
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,3,11:30,LE CHÂTEAU-D'OLÉRON,Porte de Dolus - cité Bastion,le chateau d'oleron|porte de dolus cite bastion,12:12,Correspondance navettes bleue et verte
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,4,13:00,LE CHÂTEAU-D'OLÉRON,Porte de Dolus - cité Bastion,le chateau d'oleron|porte de dolus cite bastion,13:42,Correspondance navettes bleue et verte
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,5,14:30,LE CHÂTEAU-D'OLÉRON,Porte de Dolus - cité Bastion,le chateau d'oleron|porte de dolus cite bastion,15:12,Correspondance navettes bleue et verte
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,6,16:00,LE CHÂTEAU-D'OLÉRON,Porte de Dolus - cité Bastion,le chateau d'oleron|porte de dolus cite bastion,16:42,Correspondance navettes bleue et verte
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,7,17:30,LE CHÂTEAU-D'OLÉRON,Porte de Dolus - cité Bastion,le chateau d'oleron|porte de dolus cite bastion,18:12,Correspondance navettes bleue et verte
2,Violette,Le Château-d'Oléron,Saint-Trojan-Les-Bains,Du lundi au dimanche et jours fériés,1,09:15,LE CHÂTEAU-D'OLÉRON,Porte de Dolus - cité Bastion,le chateau d'oleron|porte de dolus cite bastion,09:15,Correspondance navettes bleue et verte
2,Violette,Le Château-d'Oléron,Saint-Trojan-Les-Bains,Du lundi au dimanche et jours fériés,2,10:45,LE CHÂTEAU-D'OLÉRON,Porte de Dolus - cité Bastion,le chateau d'oleron|porte de dolus cite bastion,10:45,Correspondance navettes bleue et verte
2,Violette,Le Château-d'Oléron,Saint-Trojan-Les-Bains,Du lundi au dimanche et jours fériés,3,12:15,LE CHÂTEAU-D'OLÉRON,Porte de Dolus - cité Bastion,le chateau d'oleron|porte de dolus cite bastion,12:15,Correspondance navettes bleue et verte
2,Violette,Le Château-d'Oléron,Saint-Trojan-Les-Bains,Du lundi au dimanche et jours fériés,4,13:45,LE CHÂTEAU-D'OLÉRON,Porte de Dolus - cité Bastion,le chateau d'oleron|porte de dolus cite bastion,13:45,Correspondance navettes bleue et verte
